"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.192377530E-1,2.783049941E-1,-2.062640041E-1,9.146969914E-1
4.242603340E-1,9.699399769E-2,-2.169979960E-1,8.291559815E-1
4.292828010E-1,5.598009825E-1,-3.469609916E-1,1.095774055E0
4.343053150E-1,2.519260049E-1,-2.985090017E-1,1.047644019E0
4.393278880E-1,6.212149858E-1,-3.903470039E-1,1.031396985E0
4.443504530E-1,4.387049973E-1,-3.760220110E-1,1.041759014E0
4.493729330E-1,7.850559950E-1,-5.686579943E-1,1.605041027E0
4.543954450E-1,4.634329975E-1,-3.735559881E-1,1.266083956E0
4.594180620E-1,7.578200102E-1,-8.630139828E-1,1.791185975E0
4.644406590E-1,6.679559946E-1,-6.475679874E-1,1.731134057E0
4.694630980E-1,4.244160056E-1,-8.919360042E-1,1.895949006E0
4.744855840E-1,5.359280109E-1,-8.284869790E-1,1.863754034E0
4.795082350E-1,-2.442399971E-2,-7.839000225E-1,1.853909016E0
4.845308270E-1,1.677549928E-1,-7.176889777E-1,1.837522984E0
4.895534170E-1,-2.267760038E-1,-7.721840143E-1,1.951869965E0
4.945759970E-1,-5.363500118E-2,-6.694790125E-1,1.868602037E0
4.995984690E-1,-4.407260120E-1,-6.836249828E-1,2.099009991E0
5.046209830E-1,-2.309519947E-1,-6.479539871E-1,2.001607895E0
5.096435600E-1,-5.026869774E-1,-6.120169759E-1,2.143670082E0
5.146661250E-1,-4.037390053E-1,-5.787789822E-1,2.149146080E0
5.196886150E-1,-4.368259907E-1,-4.583190084E-1,1.823757052E0
5.247111270E-1,-3.261840045E-1,-4.900549948E-1,2.003390074E0
5.297337690E-1,-5.699650049E-1,-2.142619938E-1,1.345890045E0
5.347563660E-1,-4.118230045E-1,-3.464539945E-1,1.579496980E0
5.397789360E-1,-5.841540098E-1,-1.462199986E-1,7.423850298E-1
5.448015170E-1,-5.121510029E-1,-2.003889978E-1,1.073591948E0
5.498239980E-1,-5.415260196E-1,3.929999948E-4,2.067929953E-1
5.548465120E-1,-4.838359952E-1,-1.154249981E-1,4.509019852E-1
5.598691180E-1,-5.441330075E-1,-3.540100157E-2,-1.262709945E-1
5.648916830E-1,-5.037159920E-1,2.875000006E-3,-8.990000002E-3
5.699142980E-1,-4.480899870E-1,-1.479849964E-1,-1.205770001E-1
5.749369050E-1,-4.463410079E-1,-6.602700055E-2,-1.660639942E-1
5.799593920E-1,-4.784460068E-1,-3.130809963E-1,2.448579967E-1
5.849819110E-1,-3.790729940E-1,-7.318200171E-2,2.383900061E-2
5.900045010E-1,-5.287579894E-1,-6.098309755E-1,1.063663960E0
5.950270670E-1,-4.373669922E-1,-2.519139946E-1,5.585759878E-1
6.000495570E-1,-6.958159804E-1,-7.188940048E-1,1.932104945E0
6.050720690E-1,-4.995970130E-1,-3.832550049E-1,1.482589006E0
6.100946790E-1,-6.691889763E-1,-8.335049748E-1,2.797226906E0
6.151172440E-1,-5.659520030E-1,-4.478169978E-1,2.363599062E0
6.201398780E-1,-5.717459917E-1,-8.658170104E-1,3.456902981E0
6.251624850E-1,-4.663920105E-1,-5.235700011E-1,3.154637098E0
6.301849580E-1,-5.517429709E-1,-7.086110115E-1,3.735913992E0
6.352074770E-1,-4.514069855E-1,-5.370560288E-1,3.644146919E0
6.402300350E-1,-1.310340017E-1,-5.022320151E-1,3.672537088E0
6.452526010E-1,-2.871420085E-1,-4.186069965E-1,3.745244980E0
6.502750810E-1,1.441289932E-1,-1.249800026E-1,2.982156992E0
6.552975930E-1,3.849599883E-2,-2.197470069E-1,3.422274113E0
6.603201760E-1,4.002110064E-1,2.619459927E-1,1.766955972E0
6.653427410E-1,2.082509995E-1,8.334100246E-2,2.384567022E0
6.703652310E-1,6.679540277E-1,6.221429706E-1,4.578779936E-1
6.753877430E-1,4.458090067E-1,3.996480107E-1,1.045550942E0
6.804103650E-1,8.572880030E-1,9.661070108E-1,-4.907850027E-1
6.854329620E-1,6.266769767E-1,6.892709732E-1,-7.473299652E-2
6.904555320E-1,1.065003991E0,1.200214982E0,-1.444113970E0
6.954781130E-1,7.272130251E-1,9.316040277E-1,-9.335970283E-1
7.005005990E-1,1.247717023E0,1.274796009E0,-2.346848011E0
7.055231130E-1,9.214490056E-1,1.039306045E0,-1.944224954E0
7.105457000E-1,1.035094023E0,1.300115943E0,-2.759701967E0
7.155682650E-1,9.092649817E-1,1.102921963E0,-2.598095894E0
7.205907550E-1,5.588129759E-1,9.971010089E-1,-2.619282961E0
7.256132670E-1,6.386690140E-1,1.000313997E0,-2.751751900E0
7.306358390E-1,-4.157999903E-2,8.148369789E-1,-2.184191942E0
7.356584040E-1,2.352669984E-1,7.859269977E-1,-2.381500006E0
7.406808840E-1,-3.032689989E-1,6.915609837E-1,-1.609905005E0
7.457033960E-1,-9.653799981E-2,7.057690024E-1,-1.958224058E0
7.507259970E-1,-3.230000138E-1,5.567799807E-1,-1.265594006E0
7.557485620E-1,-1.817460060E-1,5.401729941E-1,-1.412042975E0
7.607711910E-1,-3.343580067E-1,6.273480058E-1,-1.317482948E0
